Player,Position,Matches_Played,Starts,Minutes_Played,90s_Played,Goals,Assists,Goal_Contributions,Non_Penalty_Goals,Penalty_Goals,Penalty_Attempts,Yellow_Cards,Red_Cards,Expected_Goals,Expected_Assists,Progressive_Carries,Progressive_Passes,Progressive_Runs,Per90_Goals,Per90_Assists,Per90_xG,Per90_xA,#,Date of birth/Age,Height,Foot,Contract,Nat.,Age,Contract_Years_Remaining,Total_Contributions,Age_Group,Matches_Played_scaled,Starts_scaled,Minutes_Played_scaled,Goals_scaled,Assists_scaled,Goal_Contributions_scaled,Non_Penalty_Goals_scaled,Penalty_Goals_scaled,Yellow_Cards_scaled,Red_Cards_scaled,Expected_Goals_scaled,Expected_Assists_scaled,Progressive_Carries_scaled,Progressive_Passes_scaled,Progressive_Runs_scaled,Market value_scaled
Thibaut Courtois,GK,23,23,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"May 11, 1992 (32)","2,00m",left,"Jun 30, 2026",Belgium,32.0,1.0,0.0,29-33,0.5017697064680794,0.9421138249708554,1.0574421894873676,-0.7265477421488705,-0.9206965402374976,-0.8537961757940359,-0.7815718159351726,-0.3123475237772121,-1.284297535842423,-0.2425356250363329,-0.5601612670527015,-1.1140738177704042,-0.8209280324177313,-1.2848083733056206,-0.7314589534239506,-0.5646333512388877
Dani Ceballos,MF,18,7,761.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.4,9.0,63.0,6.0,0.0,0.0,0.03,0.06,19,"Aug 7, 1996 (28)","1,79m",right,"Jun 30, 2027",Spain,28.0,2.0,0.0,24-28,-0.192988348641569,-0.8788847092009991,-0.7478945881882615,-0.7265477421488705,-0.9206965402374976,-0.8537961757940359,-0.7815718159351726,-0.3123475237772121,0.3285412300992244,-0.2425356250363329,-0.5075090330738575,-0.7527525795745974,-0.4901062880105858,0.2110568169701224,-0.6373021393955994,-0.9576930322118152
Endrick,FW,16,2,260.0,2.9,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.3,0.4,5.0,5.0,18.0,0.69,0.0,0.67,0.23,16,"Jul 21, 2006 (18)","1,73m",left,"Jun 30, 2030",Brazil,18.0,5.0,2.0,,-0.4708915706854285,-1.4479467511297035,-1.438860001187108,-0.2034333678016837,-0.9206965402374976,-0.4789588303234835,-0.1699069165076461,-0.3123475237772121,0.3285412300992244,-0.2425356250363329,-0.2179217461902154,-0.7527525795745974,-0.6371381744137615,-1.1660889137599266,-0.448988511338897,-0.2838764362582253
Andriy Lunin,GK,6,6,540.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.17,0.0,0.19,13,"Feb 11, 1999 (25)","1,91m",right,"Jun 30, 2030",Ukraine,25.0,5.0,1.0,24-28,-1.8604076809047252,-0.99269711758674,-1.052691706497134,-0.7265477421488705,-0.4028047363539052,-0.6663775030587598,-0.7815718159351726,-0.3123475237772121,-1.284297535842423,-0.2425356250363329,-0.5601612670527015,-0.301101031829839,-0.8209280324177313,-1.2848083733056206,-0.7314589534239506,-0.6582189895657752
Eduardo Camavinga,MF,15,11,904.0,10.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.1,0.8,12.0,48.0,14.0,0.1,0.2,0.02,0.1,6,"Nov 10, 2002 (22)","1,82m",left,"Jun 30, 2029","['France', 'Congo']",22.0,4.0,3.0,18-23,-0.6098431817073582,-0.4236350756580355,-0.5506729234001676,-0.4649905549752771,0.1150870675296872,-0.2915401575882073,-0.4757393662214093,-0.3123475237772121,0.8661541520797735,-0.2425356250363329,-0.5338351500632795,-0.3914313413787906,-0.379832373208204,-0.1451015616669592,-0.5117597206911312,0.4648086703568745
Kylian Mbappé,FW,27,25,2177.0,24.2,14.0,3.0,17.0,11.0,3.0,5.0,2.0,0.0,16.5,3.0,109.0,83.0,244.0,0.58,0.12,0.79,0.14,9,"Dec 20, 1998 (26)","1,78m",right,"Jun 30, 2029","['France', 'Cameroon']",26.0,4.0,17.0,24-28,1.057576150555798,1.1697386417423372,1.2050136449581792,2.935252878281437,0.6329788714132797,2.332321260705659,2.5825851309162227,3.904344047215151,-0.2090716918813246,-0.2425356250363329,3.78364803620193,1.5958354686981464,3.1856908720688084,0.685934655152898,3.097584817062332,1.9621788835870744
Éder Militão,DF,17,15,1309.0,14.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.7,9.0,58.0,2.0,0.07,0.07,0.06,0.05,3,"Jan 18, 1998 (26)","1,86m",right,"Jun 30, 2028","['Brazil', 'Spain']",26.0,3.0,2.0,24-28,-0.3319399596634987,0.0316145578849281,0.0078919314192593,-0.4649905549752771,-0.4028047363539052,-0.4789588303234835,-0.4757393662214093,-0.3123475237772121,0.8661541520797735,-0.2425356250363329,-0.3232262141479035,-0.4817616509277423,-0.4901062880105858,0.0923373574244285,-0.7000733487478336,-0.2838764362582253
Jesús Vallejo,DF,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,"Jan 5, 1997 (28)","1,84m",right,"Jun 30, 2025",Spain,28.0,0.0,0.0,24-28,-2.555165736014374,-1.6755715679011856,-1.782273948964978,-0.7265477421488705,-0.9206965402374976,-0.8537961757940359,-0.7815718159351726,-0.3123475237772121,-1.284297535842423,-0.2425356250363329,-0.5601612670527015,-1.1140738177704042,-0.8209280324177313,-1.2848083733056206,-0.7314589534239506,-1.0138444152079475
Jude Bellingham,MF,24,24,2005.0,22.3,9.0,7.0,16.0,8.0,1.0,2.0,5.0,0.0,6.1,3.5,47.0,135.0,85.0,0.4,0.31,0.32,0.18,5,"Jun 29, 2003 (21)","1,86m",right,"Jun 30, 2029","['England', 'Ireland']",21.0,4.0,16.0,18-23,0.640721317490009,1.0559262333565962,0.967795978220052,1.6274669424134702,2.704546086947649,2.144902587970383,1.665087781774933,1.0932163332202425,1.4037670740603223,-0.2425356250363329,1.0457318693020408,2.0474870164429047,0.906696632819584,1.9206170344281144,0.6024292453110248,2.3365214368946243
Arda Güler,MF,21,8,769.0,8.5,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,2.2,2.2,21.0,44.0,49.0,0.35,0.35,0.29,0.29,15,"Feb 25, 2005 (19)","1,75m",left,"Jun 30, 2029",Türkiye,19.0,4.0,6.0,18-23,0.22386648442422,-0.7650723008152582,-0.7368612083399765,0.0581238193719096,0.6329788714132797,0.2707158606176212,0.135925533206117,-0.3123475237772121,-0.7466846138618737,-0.2425356250363329,0.0190133067145826,0.873192992306533,-0.0490106288010585,-0.2400771293035143,0.0374883611409175,-0.1902907979313378
