Player,Position,Matches_Played,Starts,Minutes_Played,90s_Played,Goals,Assists,Goal_Contributions,Non_Penalty_Goals,Penalty_Goals,Penalty_Attempts,Yellow_Cards,Red_Cards,Expected_Goals,Expected_Assists,Progressive_Carries,Progressive_Passes,Progressive_Runs,Per90_Goals,Per90_Assists,Per90_xG,Per90_xA,#,Date of birth/Age,Height,Foot,Contract,Market value,Nat.,Age,Contract_Years_Remaining,Total_Contributions,Age_Group,Matches_Played_scaled,Starts_scaled,Minutes_Played_scaled,Goals_scaled,Assists_scaled,Goal_Contributions_scaled,Non_Penalty_Goals_scaled,Penalty_Goals_scaled,Yellow_Cards_scaled,Red_Cards_scaled,Expected_Goals_scaled,Expected_Assists_scaled,Progressive_Carries_scaled,Progressive_Passes_scaled,Progressive_Runs_scaled,Market value_scaled
Federico Valverde,"MF,DF",29,29,2444.0,27.2,7.0,3.0,10.0,7.0,0.0,0.0,4.0,0.0,1.1,1.9,38.0,133.0,46.0,0.26,0.11,0.04,0.08,8,"Jul 22, 1998 (26)","1,82m",right,"Jun 30, 2029",130.0,"['Uruguay', 'Spain']",26.0,4.0,10.0,24-28,1.3354793725996577,1.6249882752853009,1.5732526973946903,1.1043525680662833,0.6329788714132797,1.020390551558726,1.3592553320611698,-0.3123475237772121,0.8661541520797735,-0.24253562503633297,-0.2705739801690595,0.6022020636596778,0.5758748884124384,1.873129250609837,-0.009590045873258042,1.4006650536257494
Antonio Rüdiger,DF,28,27,2437.0,27.1,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.7,0.3,16.0,77.0,3.0,0.07,0.0,0.11,0.01,22,"Mar 3, 1993 (31)","1,90m",right,"Jun 30, 2026",24.0,"['Germany', 'Sierra Leone']",31.0,1.0,2.0,29-33,1.1965277615777279,1.397363458513819,1.563598490027441,-0.20343336780168375,-0.9206965402374976,-0.4789588303234835,-0.16990691650764617,-0.3123475237772121,0.8661541520797735,-0.24253562503633297,0.15064389166169265,-0.843082889123549,-0.23280048680502824,0.5434713036980653,-0.6843805464097751,-0.5833504789042653
Kylian Mbappé,FW,27,25,2177.0,24.2,14.0,3.0,17.0,11.0,3.0,5.0,2.0,0.0,16.5,3.0,109.0,83.0,244.0,0.58,0.12,0.79,0.14,9,"Dec 20, 1998 (26)","1,78m",right,"Jun 30, 2029",160.0,"['France', 'Cameroon']",26.0,4.0,17.0,24-28,1.0575761505557981,1.1697386417423372,1.2050136449581792,2.935252878281437,0.6329788714132797,2.332321260705659,2.5825851309162227,3.904344047215151,-0.2090716918813246,-0.24253562503633297,3.7836480362019294,1.5958354686981464,3.1856908720688084,0.685934655152898,3.097584817062332,1.9621788835870744
Thibaut Courtois,GK,23,23,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"May 11, 1992 (32)","2,00m",left,"Jun 30, 2026",25.0,Belgium,32.0,1.0,0.0,29-33,0.5017697064680794,0.9421138249708554,1.0574421894873676,-0.7265477421488705,-0.9206965402374976,-0.8537961757940359,-0.7815718159351726,-0.3123475237772121,-1.2842975358424227,-0.24253562503633297,-0.5601612670527015,-1.1140738177704042,-0.8209280324177313,-1.2848083733056206,-0.7314589534239506,-0.5646333512388877
Jude Bellingham,MF,24,24,2005.0,22.3,9.0,7.0,16.0,8.0,1.0,2.0,5.0,0.0,6.1,3.5,47.0,135.0,85.0,0.4,0.31,0.32,0.18,5,"Jun 29, 2003 (21)","1,86m",right,"Jun 30, 2029",180.0,"['England', 'Ireland']",21.0,4.0,16.0,18-23,0.640721317490009,1.0559262333565962,0.9677959782200521,1.6274669424134702,2.704546086947649,2.144902587970383,1.665087781774933,1.0932163332202425,1.4037670740603225,-0.24253562503633297,1.0457318693020408,2.0474870164429047,0.9066966328195839,1.9206170344281144,0.6024292453110248,2.3365214368946243
Aurélien Tchouaméni,"MF,DF",23,22,1781.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.1,0.6,13.0,115.0,6.0,0.0,0.0,0.06,0.03,14,"Jan 27, 2000 (24)","1,88m",right,"Jun 30, 2028",80.0,"['France', 'Cameroon']",24.0,3.0,0.0,24-28,0.5017697064680794,0.8283014165851145,0.6588613424680729,-0.7265477421488705,-0.9206965402374976,-0.8537961757940359,-0.7815718159351726,-0.3123475237772121,0.3285412300992244,-0.24253562503633297,-0.2705739801690595,-0.5720919604766941,-0.34307440160741004,1.4457391962453388,-0.6373021393955994,0.4648086703568745
Rodrygo,"FW,MF",23,17,1529.0,17.0,7.0,4.0,11.0,7.0,0.0,0.0,0.0,0.0,3.0,2.2,67.0,68.0,149.0,0.41,0.24,0.21,0.15,11,"Jan 9, 2001 (24)","1,74m",right,"Jun 30, 2028",100.0,"['Brazil', 'Spain']",24.0,3.0,11.0,24-28,0.5017697064680794,0.25923937465640995,0.31130987724709613,1.1043525680662833,1.150870675296872,1.2078092242940022,1.3592553320611698,-0.3123475237772121,-1.2842975358424227,-0.24253562503633297,0.22962224262995862,0.873192992306533,1.6418560648354628,0.3297762765158163,1.6067685949467712,0.8391512236644244
Lucas Vázquez,DF,25,17,1491.0,16.6,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,0.9,1.9,20.0,50.0,113.0,0.12,0.18,0.06,0.13,17,"Jul 1, 1991 (33)","1,73m",right,"Jun 30, 2025",3.5,Spain,33.0,0.0,5.0,29-33,0.7796729285119388,0.25923937465640995,0.25890132296774254,-0.20343336780168375,0.6329788714132797,0.08329718788234501,-0.16990691650764617,-0.3123475237772121,1.9413799960408715,-0.24253562503633297,-0.32322621414790353,0.6022020636596778,-0.08576860040185248,-0.09761377784868172,1.0418277107766638,-0.9670515960445039
Ferland Mendy,DF,20,18,1438.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.1,10.0,40.0,47.0,0.0,0.0,0.0,0.0,23,"Jun 8, 1995 (29)","1,80m",left,"Jun 30, 2025",18.0,"['France', 'Senegal']",29.0,0.0,0.0,29-33,0.08491487340229031,0.3730517830421508,0.18580518147285455,-0.7265477421488705,-0.9206965402374976,-0.8537961757940359,-0.7815718159351726,-0.3123475237772121,-0.2090716918813246,4.123105625617661,-0.5601612670527015,-1.0237435082214523,-0.4533483164097919,-0.3350526969400695,0.0061027564648004915,-0.6956532448965302
Éder Militão,DF,17,15,1309.0,14.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.7,9.0,58.0,2.0,0.07,0.07,0.06,0.05,3,"Jan 18, 1998 (26)","1,86m",right,"Jun 30, 2028",40.0,"['Brazil', 'Spain']",26.0,3.0,2.0,24-28,-0.33193995966349876,0.03161455788492812,0.007891931419259323,-0.46499055497527714,-0.4028047363539052,-0.4789588303234835,-0.47573936622140933,-0.3123475237772121,0.8661541520797735,-0.24253562503633297,-0.32322621414790353,-0.48176165092774237,-0.4901062880105858,0.0923373574244285,-0.7000733487478336,-0.2838764362582253
